iteration,observerX1AngularPosition,observerX2AngularVelocity,realAngularPosition,motorAngularSpeed
152,-11.353763806656314,2.282616879764243,-11.42,0.0
153,-11.349198931468866,2.278126760454298,-11.42,0.0
154,-11.344753152202129,2.2740359076181504,-11.42,0.0
155,-11.340723554834927,2.2706392646118667,-11.42,0.0
156,-11.337232443093491,2.2680009198381663,-11.42,0.0
157,-11.333772361295638,2.265706323453387,-11.42,0.0
158,-11.330569976066275,2.2639387503798103,-11.42,0.0
159,-11.32754125215136,2.262645354767003,-11.42,0.0
160,-11.323719074033429,2.2615583907585988,-11.42,0.0
161,-11.31893630039604,2.2612632005057467,-11.42,0.0
162,-11.315328333812209,2.2623791213230913,-11.42,0.0
163,-11.313428462615411,2.263691714296137,-11.42,0.0
164,-11.311604198784439,2.26540837914958,-11.42,0.0
165,-11.309939897257841,2.267438818322868,-11.42,0.0
166,-11.308373574103806,2.2698105677333915,-11.42,0.0
167,-11.306952103920972,2.2724147414013545,-11.42,0.0
168,-11.305584691815188,2.2753692439399353,-11.42,0.0
169,-11.30304643228213,2.281761850424516,-11.42,0.0
170,-11.30134633051832,2.2873949885376406,-11.42,0.0
171,-11.298896110571242,2.2971000535420716,-11.42,0.0
172,-11.297542064007281,2.3040020990108934,-11.42,0.0
173,-11.296694860997679,2.3089470466705695,-11.42,0.0
174,-11.295863353611336,2.314219216968697,-11.42,0.0
175,-11.29501948829804,2.32001428332381,-11.42,0.0
176,-11.294308586646581,2.3252994766798234,-11.42,0.0
177,-11.293552538241807,2.3312989497506647,-11.42,0.0
178,-11.292520418108712,2.3400624945028454,-11.42,0.0
179,-11.289486563503894,2.368240625612526,-11.42,0.0
180,-11.288606310411751,2.3787794093246406,-11.42,0.0
181,-11.287660533823273,2.3907785814114164,-11.42,0.0
182,-11.287098054283302,2.3983316831078176,-11.42,0.0
183,-11.286556599117178,2.4058248878704074,-11.42,0.0
184,-11.285886679384992,2.415349144821927,-11.42,0.0
185,-11.285185135645857,2.4256360362481986,-11.42,0.0
186,-11.284055750046491,2.4426881365892505,-11.42,0.0
187,-11.283319089292982,2.4542873817376947,-11.42,0.0
188,-11.28283298480538,2.4621143081737786,-11.42,0.0
189,-11.282339398699213,2.4701641101434366,-11.42,0.0
190,-11.281829200297029,2.4785836067661915,-11.42,0.0
191,-11.281277697140256,2.487785508595132,-11.42,0.0
192,-11.28078190795137,2.496146507784858,-11.42,0.0
193,-11.280256942426268,2.50507489650513,-11.6,0.0
194,-11.301152986435786,2.5212836517446275,-11.6,0.0
195,-11.31703025125177,2.5357266232217937,-11.6,0.0
196,-11.33870802318381,2.558305625142786,-11.6,0.0
197,-11.348471022500066,2.5708776577227046,-11.6,0.0
198,-11.354993257770845,2.5802523394304706,-11.6,0.0
199,-11.361405135020933,2.5902356281876964,-11.6,0.0
200,-11.366992032371837,2.599703341735532,-11.6,0.0
201,-11.372845373610827,2.6104452301846477,-11.6,0.0
202,-11.377292204520577,2.6193783755143465,-11.6,0.0
203,-11.385620131809326,2.6374016703653975,-11.6,0.0
204,-11.394806195292102,2.6606273963686036,-11.6,0.0
205,-11.397556202640088,2.6691655917881,-11.6,0.0
206,-11.400455172557823,2.678837056510846,-11.6,0.0
207,-11.40330537684117,2.689161360809866,-11.6,0.0
208,-11.405891757160418,2.6994002046584527,-11.6,0.0
209,-11.409034699922563,2.7130006258359702,-11.6,0.0
210,-11.41269148860684,2.730869091058974,-11.6,0.0
211,-11.415608008508462,2.7476976482715094,-11.6,0.0
212,-11.417443582723608,2.7601434082416896,-11.6,0.0
213,-11.418836860747728,2.7708114733058604,-11.6,0.0
214,-11.419996240270851,2.7806900154148098,-11.6,0.0
215,-11.421084792762567,2.7909599684887754,-11.6,0.0
216,-11.42208420485369,2.801483938355031,-11.6,0.0
217,-11.422964385062402,2.811906929301325,-11.6,0.0
218,-11.423727165265367,2.8221096722337453,-11.6,0.0
219,-11.424423760941558,2.8326734654470864,-11.6,0.0
220,-11.425016141565047,2.8429886335126464,-11.6,0.0
221,-11.425555209199507,2.8538360877056514,-11.6,0.0
222,-11.426288820224698,2.8712547849756156,-11.6,0.0
223,-11.42682486580588,2.8886493007495098,-11.6,0.0
224,-11.427320034629432,2.9124362873352223,-11.6,0.0
225,-11.427446411749749,2.926977158437026,-11.6,0.0
226,-11.427471963108962,2.937548264513706,-11.6,0.0
227,-11.427453997031252,2.948012037043585,-11.6,0.0
228,-11.4273948237296,2.9587110870214857,-11.6,0.0
229,-11.427293123537723,2.9698040555581504,-11.6,0.0
230,-11.427103912085945,2.984725772295474,-11.6,0.0
231,-11.426748467271873,3.005550120313256,-11.6,0.0
232,-11.42628910657239,3.0258686531103622,-11.6,0.0
233,-11.425802519994182,3.043696261329221,-11.6,0.0
234,-11.425482006812498,3.0540779377920226,-11.6,0.0
235,-11.425122323775115,3.0650705002564416,-11.6,0.0
236,-11.424741762685498,3.0760860501256224,-11.6,0.0
237,-11.424392129225991,3.0857309946854024,-11.6,0.0
238,-11.424002005817256,3.0960964370317154,-11.6,0.0
239,-11.423482446516099,3.109406316755731,-11.6,0.0
240,-11.422670135403353,3.1293583174366972,-11.6,0.0
241,-11.42185768954242,3.1482456395517593,-11.6,0.0
242,-11.421295775805369,3.160755276481693,-11.6,0.0
243,-11.420859820830529,3.170226856147607,-11.6,0.0
244,-11.420379896248686,3.1804814804195813,-11.6,0.0
245,-11.419867415238453,3.19125072684141,-11.6,0.0
246,-11.419340592362962,3.2021445516241003,-11.6,0.0
247,-11.41886265479502,3.2118809786899876,-11.6,0.0
248,-11.418059319339164,3.228046939087467,-11.6,0.0
249,-11.417043648952422,3.2481051613860203,-11.6,0.0
250,-11.41598037840117,3.268676871473905,-11.6,0.0
251,-11.415049018129787,3.2863747376142474,-11.6,0.0
252,-11.414481750236456,3.297012058872891,-11.6,0.0
253,-11.4139327001693,3.3072359289302438,-11.6,0.0
254,-11.413362860207599,3.3177810027963006,-11.6,0.0
255,-11.412771523697893,3.328658709654459,-11.6,0.0
256,-11.412195874325603,3.3391875143110967,-11.6,0.0
257,-11.411380636984608,3.3540223119199606,-11.6,0.0
258,-11.40995445205307,3.3798014261877904,-11.6,0.0
259,-11.409236379818184,3.3926462391028855,-11.6,0.0
260,-11.408655007305176,3.4030010251170446,-11.6,0.0
261,-11.408057345315449,3.413612149092565,-11.6,0.0
262,-11.407469257838224,3.424021660064473,-11.6,0.0
263,-11.406811974107601,3.435623853050835,-11.6,0.0
264,-11.406310476790727,3.4444507817421,-11.6,0.0
265,-11.405712452558328,3.4549554948879138,-11.6,0.0
266,-11.404587626775854,3.4746692619850723,-11.6,0.0
267,-11.403693060782048,3.490285799008335,-11.6,0.0
268,-11.402143616341013,3.5172611679608505,-11.6,0.0
269,-11.401451109075994,3.529266836177682,-11.6,0.0
270,-11.400882362886456,3.539111689113436,-11.6,0.0
271,-11.400252769708429,3.5499970656899893,-11.6,0.0
272,-11.399631550592536,3.5607246882811148,-11.6,0.0
273,-11.399038003115852,3.5709631274627616,-11.6,0.0
274,-11.398432955531732,3.5813896973776007,-11.6,0.0
275,-11.397610041771499,3.5955574539084956,-11.6,0.0
276,-11.395719097063324,3.6280746125056775,-11.6,0.0
277,-11.394891025869613,3.6422793607266546,-11.6,0.0
278,-11.394290581041503,3.652570680091591,-11.6,0.0
279,-11.393657046589766,3.6634230930626606,-11.6,0.0
280,-11.393022305418091,3.674290222142908,-11.6,0.0
281,-11.392456742857691,3.683968040173194,-11.6,0.0
282,-11.391852204212535,3.694308449427003,-11.6,0.0
283,-11.390658527040253,3.7147172390004783,-11.6,0.0
284,-11.389674502774662,3.5788344852693297,-11.6,0.0
